Label.Bakker,SAMN,Label.SRA,year,collect,plot,CO2,plant,tissue,biol
FACE179,SAMN11840433,SRR9124769,Y18,2018-07-17,Y18_Plot1,Elevated,Y18_Plot1_04,leaf,FACE
FACE148,SAMN11840430,SRR9124770,Y18,2018-07-10,Y18_Plot1,Elevated,Y18_Plot1_02,leaf,FACE
FACE177,SAMN11840431,SRR9124771,Y18,2018-07-17,Y18_Plot1,Elevated,Y18_Plot1_03,spike,FACE
FACE146,SAMN11840428,SRR9124772,Y18,2018-07-10,Y18_Plot1,Elevated,Y18_Plot1_01,spike,FACE
FACE147,SAMN11840429,SRR9124773,Y18,2018-07-10,Y18_Plot1,Elevated,Y18_Plot1_02,leaf,FACE
FACE144,SAMN11840426,SRR9124774,Y17,2017-08-07,Y17_Plot6,Ambient,Y17_Plot6_12,leaf,FACE
FACE145,SAMN11840427,SRR9124775,Y18,2018-07-10,Y18_Plot1,Elevated,Y18_Plot1_01,spike,FACE
FACE142,SAMN11840424,SRR9124776,Y17,2017-08-07,Y17_Plot6,Ambient,Y17_Plot6_11,leaf,FACE
FACE143,SAMN11840425,SRR9124777,Y17,2017-08-07,Y17_Plot6,Ambient,Y17_Plot6_12,spike,FACE
FACE108,SAMN11840390,SRR9124778,Y17,2017-07-31,Y17_Plot5,Elevated,Y17_Plot5_06,leaf,FACE
FACE109,SAMN11840391,SRR9124779,Y17,2017-07-31,Y17_Plot5,Elevated,Y17_Plot5_07,spike,FACE
FACE193,SAMN11840495,SRR9124780,Y18,2018-07-17,Y18_Plot5,Elevated,Y18_Plot5_03,spike,FACE
FACE111,SAMN11840393,SRR9124781,Y17,2017-07-31,Y17_Plot5,Elevated,Y17_Plot5_08,spike,FACE
FACE272,SAMN11840554,SRR9124782,Y18,2018-07-31,Y18_Plot8,Ambient,Y18_Plot8_08,leaf,FACE
FACE093,SAMN11840375,SRR9124783,Y17,2017-08-07,Y17_Plot4,Elevated,Y17_Plot4_11,spike,FACE
Mock17A,SAMN11840555,SRR9124784,Y17,Y17_BMock,A,NA,NA,NA,Mock
FACE041,SAMN11840326,SRR9124785,Y17,2017-08-07,Y17_Plot2,Elevated,Y17_Plot2_09,spike,FACE
FACE042,SAMN11840327,SRR9124786,Y17,2017-08-07,Y17_Plot2,Elevated,Y17_Plot2_09,leaf,FACE
FACE039,SAMN11840324,SRR9124787,Y17,2017-07-31,Y17_Plot2,Elevated,Y17_Plot2_08,spike,FACE
FACE040,SAMN11840325,SRR9124788,Y17,2017-07-31,Y17_Plot2,Elevated,Y17_Plot2_08,leaf,FACE
FACE045,SAMN11840330,SRR9124789,Y17,2017-08-07,Y17_Plot2,Elevated,Y17_Plot2_11,spike,FACE
FACE046,SAMN11840331,SRR9124790,Y17,2017-08-07,Y17_Plot2,Elevated,Y17_Plot2_11,leaf,FACE
